account,name,link,keywords,language
@eyssette@scholar.social,Cédric Eyssette,https://scholar.social/@eyssette
@gprimiero@scholar.social,Giuseppe Primiero,https://scholar.social/@gprimiero
@twsh@scholar.social,Thomas Hodgson,https://scholar.social/@twsh
@philippsteinkrueger@scholar.social,Philipp Steinkrüger,https://scholar.social/@philippsteinkrueger
@chendricks@scholar.social,Christina Hendricks,https://scholar.social/@chendricks
@_RachelHandley@eldritch.cafe,Rachel Handley,https://eldritch.cafe/@_RachelHandley
@consequently@scholar.social,Greg Restall,https://scholar.social/@consequently
@MathildeTahar@scholar.social,Mathilde Tahar,https://scholar.social/@MathildeTahar
@j13asl@mastodon.social,John Basl,https://mastodon.social/@j13asl
@thehangedman@mastodon.social,Matt Brown,https://mastodon.social/@thehangedman
@daniel@anicelittle.network,Daniel Susser,https://anicelittle.network/@daniel
@carrideen@c18.masto.host,Carrie Shanafelt,https://c18.masto.host/@carrideen
@SylviaFysica@scholar.social,Sylvia Wenmackers,https://scholar.social/@SylviaFysica
@micwieczorek@mastodon.online,Michał Wieczorek,https://mastodon.online/@micwieczorek
@HaneMaung@zirk.us,Hane Maung,https://zirk.us/@HaneMaung
@ByrdNick@nerdculture.de,Nick Byrd,https://nerdculture.de/@ByrdNick
@APLKadiri@mastodon.social,Aisha P.L. Kadiri,https://mastodon.social/@APLKadiri
@ehud@scholar.social,Ehud Lamm,https://scholar.social/@ehud
@qruyant@scholar.social,Quentin Ruyant,https://scholar.social/@qruyant
@SteveCooke@zirk.us,Steve Cooke,https://zirk.us/@SteveCooke
@dim@mastodon.sdf.org,Dimitri Mollo,https://mastodon.sdf.org/@dim
@keithwilson@fediphilosophy.org,Keith Wilson,https://fediphilosophy.org/@keithwilson
@pence@scholar.social,Charles Pence,https://scholar.social/@pence
@petersuber@fediscience.org,Peter Suber,https://fediscience.org/@petersuber
@jasongoroncy@scholar.social,Jason Goroncy,https://scholar.social/@jasongoroncy
@syderen@mastodon.social,“Syderen”,https://mastodon.social/@syderen
@mtriclot@aleph.land,Mathieu Triclot,https://aleph.land/@mtriclot
@dfaria@masto.pt,Domingos Faria,https://masto.pt/@dfaria
@le_rstelle@social.tchncs.de,Markus Hennig,https://social.tchncs.de/@le_rstelle
@WorldImagining@mastodon.social,Christopher James Stevens,https://mastodon.social/@WorldImagining
@Ka_ODonnell@mastodon.ie,Katherine O'Donnell,https://mastodon.ie/@Ka_ODonnell
@Duygun@nerdculture.de,Duygu Uygun-Tunc,https://nerdculture.de/@Duygun
@okf@scholar.social,Felipe Morales Carbonell,https://scholar.social/@okf
@hadyba@mstdn.social,Hady Ba,https://mstdn.social/@hadyba
@rrrichardzach@mathstodon.xyz,Richard Zach,https://mathstodon.xyz/@rrrichardzach
@marshall_0i@mastodon.social,Marshall Abrams,https://mastodon.social/@marshall_0i
@apublicimage@berlin.social,Jörg Volbers,https://berlin.social/@apublicimage
@msteenhagen@provo.lol,Maarten Steenhagen,https://provo.lol/@msteenhagen
@sethlazar@hci.social,Seth Lazar,https://hci.social/@sethlazar
@News4wombats@mastodon.social,P.D. Magnus,https://mastodon.social/@News4wombats
@TheStoryOutside88@mstdn.social,Gabriela Romero,https://mstdn.social/@TheStoryOutside88
@drlynnchiu@ecoevo.social,Lynn Chiu,https://ecoevo.social/@drlynnchiu
@profron@mastodon.social,Ron McClamrock,https://mastodon.social/@profron
@lisabortolotti@fediscience.org,Lisa Bortolotti,https://fediscience.org/@lisabortolotti
@audreysh@mstdn.social,Audrey Yap,https://mstdn.social/@audreysh
@JoannaKarolinaMalinowska@scholar.social,Joanna Karolina Malinowska,https://scholar.social/@JoannaKarolinaMalinowska
@sabinaleonelli@mstdn.social,Sabina Leonelli,https://mstdn.social/@sabinaleonelli
@KrantiSaran@mastodon.social,Kranti Saran,https://mastodon.social/@KrantiSaran
@Sanchez_Perez_J@fediscience.org,Jorge Sanchez-Perez,https://fediscience.org/@Sanchez_Perez_J
@erantal@mstdn.social,Eran Tal,https://mstdn.social/@erantal
@shannondea@mas.to,Shannon Dea,https://mas.to/@shannondea
